true_dept,true_priority,pred_dept,pred_priority,dept_correct,prio_correct,fast_path,rewrite_score,rewrite_reason,reasoning_score,reasoning_reason,routing_score,routing_reason
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no RAG chunk evidence and the department choice is not clearly supported by concrete ticket cues.",1,"The ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which should route to Customer Service with at least medium priority, so both department and priority (and the reasoning) are incorrect."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, remaining clear and professional without adding new assumptions.",2,"The justification is broadly plausible (sales brochures/data sheet imply Sales/Pre-Sales and low urgency), but it provides no concrete evidence like confidence scores, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",3,"The ticket explicitly concerns outdated sales brochures and a cybersecurity data sheet referencing legacy capabilities, which fits Sales and Pre-Sales ownership of sales materials, and it is a non-urgent documentation refresh request consistent with low priority."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no concrete RAG chunk evidence or explicit priority criteria beyond generic statements.",2,"The department assignment to Human Resources is correct for an employee training rollout, but the priority should be medium given the stated target rollout next quarter, making the low-priority rationale questionable."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and details without adding assumptions or new terminology.",2,"The reasoning aligns the ticket with Sales/Pre-Sales and low priority and mentions uncertain RAG/transformer signals, but provides no concrete evidence like confidence percentages, retrieved chunk details, or explicit priority criteria.",2,"Department is correct for updating sales materials, but priority should likely be high because brochures and data sheets containing legacy capability/interface claims can mislead customers and impact sales/compliance, making the low-priority rationale unconvincing."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original intent and key details about confirming model updates for compatibility before reordering, with only minor trimming of redundant phrasing.",2,"The justification is broadly correct and aligns the inquiry with pre-sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria references.",1,"The priority is correctly low, but the department is wrong because the ticket is a pre-purchase compatibility inquiry better suited to Sales/Pre-Sales than Returns and Exchanges, so the routing does not match the provided true department."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary.,2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the Service Outages/Maintenance category and high priority, but it provides no concrete evidence like model confidence scores or specific RAG/routing-rule citations.",1,"Priority is correctly high, but the department is incorrect because the true routing is Technical & IT Support even though the reasoning cites a VPN concentrator failure impacting ~200 users with no workaround."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",3,"The ticket is explicitly a general question about subscription downgrades and credits/invoicing, which fits Billing and Payments, and it’s low priority because it’s for future reference with no urgent or active issue."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,It cites a specific transformer confidence (99.7%) supporting Billing and Payments and ties the low priority to explicit ticket content (general future-reference question with no urgency) aligned to informational-request criteria.,3,"The ticket explicitly asks a general question about billing behavior when downgrading mid-cycle, which fits Billing and Payments, and it’s clearly low priority since it’s for future reference with no urgent issue."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence (99.7%) and ties the low priority to explicit ticket content (general future-reference billing question with no urgency), providing concrete evidence for both routing and priority.",3,"The ticket explicitly asks a general question about billing behavior when downgrading mid-cycle, fitting Billing and Payments, and it’s low priority because it’s for future reference with no urgent issue or outage indicated."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence (99.7%) supporting Billing and Payments and ties the 'low' priority to the ticket being a general, non-urgent informational billing question, matching stated priority criteria.",2,"The department routing to Billing and Payments is correct, but the priority is questionable because the true priority is high despite the ticket being framed as a general future-reference billing question."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority based on next-quarter rollout, but provides no RAG chunk evidence or explicit priority criteria beyond generic statements.",2,"Department is correctly routed to Human Resources for employee training, but priority should be medium given the security/HIPAA compliance implications despite the next-quarter rollout timeline."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket’s pre-purchase informational nature and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority-rule citations.",1,"The department routing is incorrect because the true department is Returns and Exchanges while the ticket was sent to Sales and Pre-Sales, even though the low priority is appropriate for an informational compatibility question."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, only removing the nonessential 'General question.'",2,"The reasoning is broadly correct and aligns the request with General Inquiry and low priority, but it provides no concrete evidence like model confidence percentages, retrieved routing rules, or specific priority criteria beyond generic statements.",3,"The ticket is explicitly asking for a link to API changelog/release notes (an informational request), fitting General Inquiry, and it indicates no outage or urgency so low priority is appropriate."
